date_and_time,lat,lon,speed
04-12-14 10:46:13.584,59.346385,18.053232,7
04-12-14 10:46:14.583,59.3464,18.053213,6
04-12-14 10:46:15.583,59.346413,18.053197,6
04-12-14 10:46:16.583,59.346425,18.053178,6
04-12-14 10:46:17.583,59.346437,18.053162,6
04-12-14 10:46:18.583,59.346448,18.053145,6
04-12-14 10:46:19.583,59.34646,18.053133,6
04-12-14 10:46:20.583,59.346472,18.053125,5
04-12-14 10:46:21.583,59.34648,18.05312,4
04-12-14 10:46:22.583,59.346487,18.053122,4
04-12-14 10:46:23.583,59.346492,18.053133,5
04-12-14 10:46:24.583,59.346497,18.053153,6
04-12-14 10:46:25.583,59.3465,18.053177,6
04-12-14 10:46:26.583,59.346503,18.0532,6
04-12-14 10:46:27.583,59.346508,18.053225,6
04-12-14 10:46:28.582,59.346512,18.053248,6
04-12-14 10:46:29.582,59.346518,18.05327,5
04-12-14 10:46:30.582,59.346523,18.05329,6
04-12-14 10:46:31.582,59.346528,18.053313,6
04-12-14 10:46:32.582,59.346535,18.053337,6
04-12-14 10:46:33.582,59.346542,18.05336,7
04-12-14 10:46:34.582,59.346547,18.053385,6
04-12-14 10:46:35.582,59.346547,18.053415,7
04-12-14 10:46:36.582,59.346547,18.053443,6
04-12-14 10:46:37.582,59.346548,18.05347,6
04-12-14 10:46:38.582,59.346552,18.053497,6
04-12-14 10:46:39.582,59.346555,18.053523,6
04-12-14 10:46:40.582,59.346562,18.053548,6
04-12-14 10:46:41.582,59.346568,18.053572,6
04-12-14 10:46:42.581,59.346577,18.053597,6
04-12-14 10:46:43.581,59.346583,18.053623,6
04-12-14 10:46:44.581,59.346588,18.05365,6
04-12-14 10:46:45.581,59.346598,18.053677,6
04-12-14 10:46:46.581,59.346607,18.053702,6
04-12-14 10:46:47.581,59.346613,18.053728,6
04-12-14 10:46:48.581,59.34662,18.05375,5
04-12-14 10:46:49.581,59.346625,18.053768,4
04-12-14 10:46:50.581,59.346633,18.053782,4
04-12-14 10:46:51.581,59.346642,18.053798,4
04-12-14 10:46:52.581,59.346647,18.053818,5
04-12-14 10:46:53.581,59.346652,18.05384,4
04-12-14 10:46:54.581,59.346653,18.053853,2
04-12-14 10:46:55.581,59.346655,18.05386,1
04-12-14 10:46:56.580,59.346655,18.053863,1
04-12-14 10:46:57.580,59.346652,18.053863,1
04-12-14 10:46:58.580,59.346652,18.053865,1
04-12-14 10:46:59.580,59.346658,18.053873,3
04-12-14 10:47:00.580,59.346652,18.053872,3
04-12-14 10:47:01.580,59.346645,18.053875,4
04-12-14 10:47:02.580,59.346647,18.053878,4
04-12-14 10:47:03.580,59.346653,18.053885,5
04-12-14 10:47:04.580,59.346662,18.0539,5
04-12-14 10:47:05.580,59.346668,18.05392,5
04-12-14 10:47:06.580,59.346673,18.053942,5
04-12-14 10:47:07.580,59.346678,18.053963,5
04-12-14 10:47:08.580,59.346685,18.053985,5
04-12-14 10:47:09.579,59.34669,18.054008,5
04-12-14 10:47:10.579,59.346695,18.054035,6
04-12-14 10:47:11.579,59.346698,18.054062,6
04-12-14 10:47:12.579,59.346703,18.054088,5
04-12-14 10:47:13.579,59.34671,18.054117,5
04-12-14 10:47:14.579,59.346715,18.05415,5
04-12-14 10:47:15.579,59.34672,18.054185,5
04-12-14 10:47:16.579,59.346727,18.054218,5
04-12-14 10:47:17.579,59.346735,18.05425,5
04-12-14 10:47:18.579,59.346743,18.054278,5
04-12-14 10:47:19.579,59.34675,18.054307,5
04-12-14 10:47:20.579,59.346757,18.054332,6
04-12-14 10:47:21.579,59.346763,18.054353,5
04-12-14 10:47:22.579,59.34677,18.054372,4
04-12-14 10:47:23.578,59.346773,18.05438,2
04-12-14 10:47:24.578,59.346777,18.054383,1
04-12-14 10:47:25.578,59.346777,18.054382,0
04-12-14 10:47:26.578,59.346778,18.054373,0
04-12-14 10:47:27.578,59.34678,18.054362,0
04-12-14 10:47:28.578,59.346783,18.054347,0
04-12-14 10:47:29.578,59.346785,18.05433,0
04-12-14 10:47:30.578,59.34679,18.054308,0
04-12-14 10:47:31.578,59.346798,18.054285,0
04-12-14 10:47:32.578,59.346805,18.05426,0
04-12-14 10:47:33.578,59.346813,18.054238,0
04-12-14 10:47:34.578,59.34682,18.054217,0
04-12-14 10:47:35.578,59.346827,18.054203,0
04-12-14 10:47:36.578,59.34683,18.054198,0
04-12-14 10:47:37.577,59.346833,18.0542,1
04-12-14 10:47:38.577,59.346837,18.05421,3
04-12-14 10:47:39.577,59.34684,18.05423,4
04-12-14 10:47:40.577,59.346845,18.054255,5
04-12-14 10:47:41.577,59.34685,18.054283,6
04-12-14 10:47:42.577,59.346855,18.054313,6
04-12-14 10:47:43.577,59.34686,18.054345,6
04-12-14 10:47:44.577,59.346863,18.054378,6
04-12-14 10:47:45.577,59.346868,18.054412,6
04-12-14 10:47:46.577,59.346875,18.05444,6
04-12-14 10:47:47.577,59.346883,18.054467,6
04-12-14 10:47:48.577,59.346888,18.054493,6
04-12-14 10:47:49.577,59.346895,18.05452,6
04-12-14 10:47:50.576,59.3469,18.054547,6
04-12-14 10:47:51.576,59.346905,18.054577,6
04-12-14 10:47:52.576,59.346912,18.054603,6
04-12-14 10:47:53.576,59.346918,18.054628,6
04-12-14 10:47:54.576,59.346925,18.054652,6
04-12-14 10:47:55.576,59.346932,18.054678,6
04-12-14 10:47:56.576,59.346937,18.054705,6
04-12-14 10:47:57.576,59.34694,18.054733,6
04-12-14 10:47:58.576,59.346942,18.054763,6
04-12-14 10:47:59.576,59.346945,18.054793,6
04-12-14 10:48:00.576,59.34695,18.05482,6
04-12-14 10:48:01.576,59.346955,18.054843,6
04-12-14 10:48:02.576,59.346962,18.054867,6
04-12-14 10:48:03.576,59.346968,18.05489,6
04-12-14 10:48:04.575,59.346973,18.054917,6
04-12-14 10:48:05.575,59.346978,18.054945,6
04-12-14 10:48:06.575,59.346985,18.054972,6
